Argomento;Numero;Cognome;Nome;Titolo;Descrizione;Prezzo;Soffietto;
Archeologia;96;Ferrua S.I.;Antonio.;Le pitture della Nuova Catacomba di Via Latina.;Città del Vaticano 1960, 8°, pp. 110, con 120 tavole in nero e a colori f.t. Leg. edit., sovracc. ill. ;€ 35;
Archeologia;97;Friedrich;Johannes.;Decifrazione delle scritture e delle lingue scomparse.;Firenze. Sansoni 1961, 16°, pp. 196 con 65 figure f.t.;€ 13;
Archeologia;98;Gualtieri;Maurizio.;La Lucania Romana.;Cultura  società nella documentazione archeologica. Napoli. Loffredo 2003, 8°, pp. 270, con 89 figure n.t.;€ 12;
Archeologia;99;Kayser;Hans.;Breve storia dell'archeologia.;Milano.Bompiani 1967, 8°, pp. 176, ricco di tavole bn ft.;€ 12;
Archeologia;100;Kirsch;G.P.;Gli edifici sacri cristiani nell'antichità. ;Torino. Berruti 1949, 8°, pp. 32 , con 24 piante e 25 figure f.t.;€ 15;
Archeologia;101;Laforgia;Elena.;Edificio termale Romano di Fuorigrotta (Napoli).;Napoli. Arte Tipografica 1982, 4°, pp. 34 + 15 tavole fuori testo.;€ 20;
Archeologia;102;Moscati;Sabatino.;Dove va l'archeologia?;Torino. Sei 1995, 8°, pp. 276, con 32 tavole a colori ft. Leg. edit., sovracc. ill.;€ 13;
Archeologia;103;Rotili;Marcello.;Archeologia del Donjon di Montella. ;Napoli. Accademia di Archeologia Lettere e belle Arti 1999, 8°, pp. 112, con 40 figure nel testo.;€ 12;
Archeologia;104;Scatozza;Lucia Amalia.;Le sculture del Vallone di Punta Pennata (Bacoli).;Napoli. Arte Tipografica 1976, 4°, pp. 46, con 13 tavole f.t.;€ 20;
Archeologia;105;Schliemann;Heinrich.;Autobiografia di un archeologo alla ricerca del mondo merico.;Presentazione di Amedeo Maiuri. Milano. Schwarz 1962, 8° grande, pp. xvi - 246, con 71 ill. in nero e 8 tavole a colori fuori testo. Leg. p.p. edit., sovracc. ill.;.32,00;
Archeologia;106;;;Da Napoli all'Europa. Le Antichità etrusche, greche e romane dal gabinetto di Sir William Hamilton. ;Napoli. Istituto Italiano per gli Studi Filosofici 2007, 4°, pp. 64, con molte ill. in nero e a colori.;€ 20;
Architettura | Urbanistica;107;Ausiello;Gigliola.;Architettura Medievale. Tecniche costruttive in Campania. ;Napoli. Clean 2000, 8° quadrotto, pp. 240, con molte ill. n.t.;€ 12;
Architettura | Urbanistica;108;Borsi;Franco. ;Leon Battista Alberti.;L'opera completa. Milano. Electa 1989, 4°, pp. 398, con 386 ill. in nero n.t. Leg. edit., sovracc. ill. Astuccio ill. ;.44;
Architettura | Urbanistica;109;Millon Henry A.,;Smyth Craig Hugh.;Michelangelo architetto.;La facciata di San Lorenzo e la cupola di San Pietro. Milano. Olivetti 1988, 4°, pp. xv - 194, con molte figure e tavole in nero e a colori  nel e fuori testo.;€ 20;
Architettura | Urbanistica;110;Perucho Juan,;Pomes Leopoldo.;Gaudì una arquitetura de anticipation.;Barcelona. Poligrafa 1967, 4°, pp. 226, con 132 tavole bn e a colori. Leg. edit., sovracc. ill. con strappetti. Testo in spagnolo e in inglese.;€ 24;
Architettura | Urbanistica;111;Polverino;Francesco.;Ischia.;Architettura e terremoto. Napoli. Clean 1998, 8° quadrotto, pp. 240, con molte ill. n.t.;€ 12;
Architettura | Urbanistica;112;Quilici;Vieri.;Città russa e città sovietica.;Caratteri della struttura storica. Ideologia e pratica della trasformazione socialista. Milano. Mazzotta 1976, 8°, pp. 368, con 431 figure nt e ft. Tracce di matita a margine.;€ 16;
Architettura | Urbanistica;113;Simoncini;Giorgio (a cura).;"""L'Architettura"" di Leon Battista Alberti nel commento di Pellegrino Tibaldi. ";Roma. De Luca 1988, 8° grande, pp. 308.;€ 18;
Architettura | Urbanistica;114;Starace;Francesco.;L'acqua e l'architettura.;Acquedotti e fontane del Regno di Napoli. Lecce. Edizioni del Grifo 2002, 8°, pp. 424, con molte ill. n.t. Leg. edit., sovracc. ill. ;€ 14;
Architettura | Urbanistica;115;;;Atrchitettare l'Unità.;Napoli. Paparo;;
Archivistica ;116;Palmieri;Stefano.;Degli Archivi Napolitani.;Storia e tradizione. Bologna. Il Mulino 2001, 8°, pp. 654.;€ 24;
Arte;117;Autori diversi.;Convegno Internazione di Studi. Dialogando con Francesco Guardati.;Francesco Guarini Nuovi contributi 1.;Napoli. Paparo 2012, 4°, pp. 156, con molte ill. in nero e a colori n.t.;€ 15;
Arte;118;Autori diversi.;;Ezra Pound e le arti. La bellezza è difficile. ;Milano. Skira 1997, 4°, pp. 132, con ill. in nero e a colori n.t.;€ 10;
Arte;119;Bologna;Ferdinando.;Gaspare Traverso nell'illuminismo europeo.;Napoli. Macchiaroli 1980, 8° grande, pp. 88, con 64 tavole in nero f.t. ;€ 20;
Arte;120;Bologna;Ferdinando.;"La Fontana della Rivera all'Aquila delle ""Novantanove Cannelle"".  ";L'Aquila. Textus 1997, 4°, pp. 236, con centinaia di foto in bn e a colori n.t. Leg. edit. ill. Non comune. ;€ 60;La fontana è nelle parti più antiche, il più antico monumento civico dell'Aquila. 
Arte;121;Bologna;Ferdinando.;Napoli e le rotte mediterranee della pittura da Alfonso il Magnanimo a Ferdinando il Cattolico.; Napoli. Società di Storia Patria 1977. 8°, pp. viii - 278, con 188 ill. f.t. ;€ 20;"""… le trame strutturali secondo cui vennero prendendo corpo le relazioni artistiche fra i centri di produzione del regno aragonese e l'Italia meridionale…"""
Arte;122;Bologna Ferdinando - Causa Raffaello.;;Mostra didattica di Carlo Sellitto primo caravaggesco napoletano. Museo e Gallerie Nazionali di Capodimonte Napoli 1977.  ;Napoli. Macchiaroli 1977, 8°, pp. 176, con 48 tavole in nero f.t.;€ 15;
Arte;123;Bortolon;Lina. ;[Francesco] Messina.;Milano. Mondadori 1976, 8°, pp. 80, con molte figure nt. Leg. edit., sovracc. ill. ;€ 10;
Arte;124;Cassou;Jean.;Gli Impressionisti e la loro epoca.;Roma. Mediterranee s.d. (anni sessanta), 4°, pp. 30 + 96 tavole a colori a piena pagina f.t. Leg. t.t. edit. titoli. Sottolineature a matita.;€ 12;
arte;125;Castelnuovo;Enrico (a cura).;Artifex bonus.;Il mondo dell'artista medievale. Roma-Bari. Laterza 2004, 8°, pp. xxxv - 248, con  molte ill. in nero e a colori n.t. Leg. edit., sovracc. ill.;€ 15;
